origin_date,target,target_end_date,horizon,location,output_type,output_type_id,value
2011-01-17,INDPRO,2011-01-31,0,US,quantile,0.05,-0.01
2011-01-17,INDPRO,2011-01-31,0,US,quantile,0.1,-0.01
2011-01-17,INDPRO,2011-01-31,0,US,quantile,0.5,0.0
2011-01-17,INDPRO,2011-01-31,0,US,quantile,0.9,0.01
2011-01-17,INDPRO,2011-01-31,0,US,quantile,0.95,0.02
2011-01-17,INDPRO,2011-01-31,0,US,mean,,0.0
2011-01-17,INDPRO,2011-02-28,1,US,quantile,0.05,-0.01
2011-01-17,INDPRO,2011-02-28,1,US,quantile,0.1,-0.01
2011-01-17,INDPRO,2011-02-28,1,US,quantile,0.5,0.0
2011-01-17,INDPRO,2011-02-28,1,US,quantile,0.9,0.01
2011-01-17,INDPRO,2011-02-28,1,US,quantile,0.95,0.01
2011-01-17,INDPRO,2011-02-28,1,US,mean,,0.0
2011-01-17,INDPRO,2011-03-31,2,US,quantile,0.05,-0.01
2011-01-17,INDPRO,2011-03-31,2,US,quantile,0.1,-0.01
2011-01-17,INDPRO,2011-03-31,2,US,quantile,0.5,0.0
2011-01-17,INDPRO,2011-03-31,2,US,quantile,0.9,0.01
2011-01-17,INDPRO,2011-03-31,2,US,quantile,0.95,0.01
2011-01-17,INDPRO,2011-03-31,2,US,mean,,0.0
2011-01-17,INDPRO,2011-04-30,3,US,quantile,0.05,-0.01
2011-01-17,INDPRO,2011-04-30,3,US,quantile,0.1,-0.01
2011-01-17,INDPRO,2011-04-30,3,US,quantile,0.5,0.0
2011-01-17,INDPRO,2011-04-30,3,US,quantile,0.9,0.01
2011-01-17,INDPRO,2011-04-30,3,US,quantile,0.95,0.01
2011-01-17,INDPRO,2011-04-30,3,US,mean,,0.0
2011-01-17,INDPRO,2011-05-31,4,US,quantile,0.05,-0.01
2011-01-17,INDPRO,2011-05-31,4,US,quantile,0.1,-0.01
2011-01-17,INDPRO,2011-05-31,4,US,quantile,0.5,0.0
2011-01-17,INDPRO,2011-05-31,4,US,quantile,0.9,0.01
2011-01-17,INDPRO,2011-05-31,4,US,quantile,0.95,0.01
2011-01-17,INDPRO,2011-05-31,4,US,mean,,0.0
2011-01-17,INDPRO,2011-06-30,5,US,quantile,0.05,-0.01
2011-01-17,INDPRO,2011-06-30,5,US,quantile,0.1,-0.01
2011-01-17,INDPRO,2011-06-30,5,US,quantile,0.5,0.0
2011-01-17,INDPRO,2011-06-30,5,US,quantile,0.9,0.01
2011-01-17,INDPRO,2011-06-30,5,US,quantile,0.95,0.01
2011-01-17,INDPRO,2011-06-30,5,US,mean,,0.0
2011-01-17,INDPRO,2011-07-31,6,US,quantile,0.05,-0.01
2011-01-17,INDPRO,2011-07-31,6,US,quantile,0.1,-0.01
2011-01-17,INDPRO,2011-07-31,6,US,quantile,0.5,0.0
2011-01-17,INDPRO,2011-07-31,6,US,quantile,0.9,0.01
2011-01-17,INDPRO,2011-07-31,6,US,quantile,0.95,0.01
2011-01-17,INDPRO,2011-07-31,6,US,mean,,0.0
2011-01-17,INDPRO,2011-08-31,7,US,quantile,0.05,-0.01
2011-01-17,INDPRO,2011-08-31,7,US,quantile,0.1,-0.01
2011-01-17,INDPRO,2011-08-31,7,US,quantile,0.5,0.0
2011-01-17,INDPRO,2011-08-31,7,US,quantile,0.9,0.01
2011-01-17,INDPRO,2011-08-31,7,US,quantile,0.95,0.01
2011-01-17,INDPRO,2011-08-31,7,US,mean,,0.0
